input,output
aaj ka weather bahut aacha hai!,"haan yaar, aaj to bahar jaana hi padega."
"kaisa hai,aaj ka mood?","bhai, dhoop bahut hai, mood kharab hai."
kya khana banaya?,"aaj toh aalu paratha, sabka favourite!"
aaj ka traffic kaisa tha?,"khatarnaak, ek ghanta late hi hua."
yeh movie kaisa laga?,"yaar, bore kar diya, kuchh samajh nahin aaya."
exam kaisa gaya?,"sabse badhiya, i'm hoping for a good result!"
aapke naye shoes kaise hain?,"bahut comfortable hai, aur style bhi!"
kaun si chai banayen?,"aaj garam masala chai peelo, thand lag rahi hai."
aaj kya plan hai?,"bas ghar pe relax, aur movie dekho."
phone charge karo?,"nahi yaar, abhi 20% battery hai."
kya tumhe yeh song pasand hai?,"haan yaar, bohot catchy hai!"
kitna paisa chahiye?,"bas 200 rupees, grocery shopping ke liye."
aaj ki workout kaisi thi?,"zabardast, muscles are burning!"
kya aapko coffee pasand hai?,"haan, aaj toh bahut crave kar rahi hoon."
tum kahaan ja rahe ho?,"bas, ek doston se milne ja raha hoon."
aapke bacche kaise hain?,"sab thik hai, school me busy."
kya aapko yaad hai?,"haan, aaj toh meri anniversary hai!"
kuchh khaane ko chahiye?,"nahi yaar, thodi der pehle khana khaya."
aapki tabiyat kaisi hai?,"bahut kharab, sar dard ho raha hai."
aaj ka weather kaisa hai?,"dhoop bahut hai, aur humid bhi!"
"yaar,khana banana hai kya aaj?","aaj toh nahi, kal banaunga."
kaisa hai mumbai ka weather aaj?,"bas, aise hi hai yaar, thoda humid."
office mein kya scene hai?,"kya scene hai, pura kaam hi hai."
"kya,new phone le raha hai?","haan yaar, pura kharcha ho gaya."
kya aaj movie dekhne chalenge?,"aaj toh nahi, kal dekhte hain."
"yaar,ghar ka kaam bahut hai?","haan yaar, kuchh nahi ho raha hai."
kaunsa song sun raha hai?,"ek bollywood wala, pura old is gold hai."
kitna traffic hai aaj?,"bahut yaar, abhi office pahunchne mein 1 hour lagega."
coffee piyoge?,"haan, ek cup chai toh banta hai."
weekend mein kya plan hai?,"kya plan hai, ghar mein hi relax karna hai."
aaj kitna ghar ka kaam ho gaya?,"kya kaam, kuchh bhi nahi hua."
"kya,exams ki preparation chal rahi hai?","haan yaar, pura stress hai."
"kya,picture dekha? super hit hai!","haan yaar, mazaa aaya!'."
"bhai,kaha jaa raha hai?","college jaa raha hoon, kaam hai.'."
kya khana hai aaj?,"kuch simple sa, sandwich bana leti hoon'."
"office se jaldi aana,movie dekhne jaana hai!","theek hai, kab hai?"
"kitni baar bolun,phone mat chala aise!","sorry yaar, abhi kar raha hoon'."
kitna time laga aaj traffic mein?,"3 hours, aise hi stuck tha'."
chai banayi hai?,"haan, garam garam hai, aa jao'."
kal ke exam ka kya plan hai?,bas abhi revision kar rahi hoon'.
weekend mein kya kar rahe ho?,"kya pata, bas chill karunga shayad'."
"kya hua,dikhaa?","nahi yaar, aaj ka mood nahi hai'."
kya kuchh news hai?,"kya news hogi, samajh nahi aaya'."
"babu,thoda sa pani de do na!","le lo, glass mein daal diye hai'."
ek do minute mein aa gaya!,"ok, wait kar raha hoon'."
bahar jaa rahe ho?,"haan, grocery lane ja raha hoon'."
kya tumhara bhi head ache hai?,"haan yaar, lag raha hai fever hai'."
kaise ho aap?,"theek hoon, aap kaise hain?"
kab tak hota hai yeh meeting?,2 hours aur'.
kya aap coffee pee te ho?,"haan, coffee to banta hai!'."
bahar khana khaane ka plan hai?,"ho sakta hai, aaj decide karte hain'."
aaj ka weather kaisa hai?,"bahut garmi hai yaar, ac lagaake baithna padega."
kya tumne yeh movie dekha?,"nahi dekha, tumne kaisi lagi?"
kal office jaana hai?,"haan, kaam bahut pada hai."
lunch khaoge kya?,"nahi yaar, thoda kam karna hai."
ye naya phone kaisa hai?,"bhut acha hai, camera superb hai."
kabhi goa jaane ka mann hai?,"haan, beach par relax karna chahta hoon."
kya tum coffee piyoge?,"haan, chai nahi chahiye."
kya aaj party hai?,"haan, bas prepare kar raha hoon."
kal kya plan hai?,kal toh bas aaram karna hai.
cricket ka match dekha?,"haan, bahut maza aaya."
train time se chali?,"haan, bas station pe pahunch gaya."
shopping karne ka plan hai?,"haan, kuchh kapde lenge."
weekend kaise gaya?,"bohot boring, bas ghar pe hi raha."
kitne baje office jana hai?,"9 baje, late nahi ho sakta."
exam kaisa gaya?,"achcha gaya, ab result ka intezaar."
kya tumne yeh book padhi?,"haan, bahut achhi book hai."
aaj kya khana banaya?,aaj toh simple dal chawal hi banaya.
mobile kharab ho gaya hai?,"haan, service centre jaana padega."
kuchh khaane ko milega?,"haan, fridge mein sandwich hai."
"yaar,kya hua?","kuch nahi, bas tension ho rahi hai."
aaj kya khane ka mann hai?,"kuch bhi, mujhe aaj kuch bhi khane ka mood nahi hai."
kya tumne woh movie dekhi?,"haan, dekha! badi boring thi yaar."
"bhai,tumhe yeh kaise pata?",mere dost ne bataya tha yaar.
kitne paise lagenge?,"behno, abhi toh nahi pata, bas aap mujhe batana, mai arrange kar dunga."
aaj kya kar rahe ho?,"kya karun? ghar pe baitha hu, bore ho raha hu."
kaunsa bus leke jaana hai?,"koi bhi, aapke aane se pehle aa gaya toh le jaenge."
kal aap kaha jaa rahe ho?,"kahi nahi, ghar pe hi rehna hai."
yeh kya hai?,yeh meri favourite chai hai yaar.
aapki shaadi kab hai?,"abhi toh kuch nahi socha, shaadi ke liye toh bahut time hai."
yeh kab tak karenge?,"bohot jaldi, aise mat pareshan ho."
tumhara favourite food kya hai?,mujhe to sab kuch pasand hai.
yeh kahaan se laye ho?,ek dukaan se yaar.
aapko yeh kaise aaya?,bohot ache hai yaar.
aap kya kar rahe hain?,"maine toh sab kuch kar liya hai yaar, aap kya kar rahe hain?"
kya karu?,"jaao, aur kuch kar lo, aise time waste mat karo."
aap mujhe kaun se topic pe baat karenge?,"aap kya chahte hain, wo topic pe baat karenge."
"koi baat nahi,chill maroo","haan yaar, aap bhi chill maroo."
aaj toh khana bahut bada mast tha!,"haan yaar, itna tasty kabhi nahi khaaya!"
kya tumne movie dekha?,"nahi yaar, abhi time nahi mila."
kya tumhe cold hai?,"haan, thodi si, khud ko garam pani peeke relax kar rahi hoon."
weekend plan kya hai?,"kuchh nahi yaar, bas ghar pe hi chillax karenge."
kaise ho bhai?,"sahi hu yaar, aap kaise ho?"
kal toh baarish hui thi?,"haan yaar, khub jhoom jhoom kar."
coffee piyega?,"haan, please ek cup."
kaam ka pressure hai?,"haan yaar, kaafi busy hoon."
kitna time lagta hai yahan se?,lagbhag half an hour.
kya tumhara phone aaya?,"nahi, abhi tak nahi aaya."
school kaise chala?,"bhut accha yaar, aaj ek new game khela."
kis liye?,"koi baat nahi, bas, just like that."
ab aap kya kar rahe ho?,abhi ghar ja rahe hai.
kya khane ka mood hai?,"haan, aaj thodi khushi mein kuchh special khana hai."
kya tumhe yeh song pasand hai?,"haan yaar, this song is my jam!"
konsi book padh rahe ho?,aise koi book toh nahi padh raha hoon.
kya tumhare parents aaye the?,"nahi yaar, woh abhi trip pe hain."
aaj kaafi garmi hai na?,"haan yaar, aur bhi bada garmi lag raha hai."
kitne logo se mile aaj?,bas do teen log se mile.
kaise ho yaar?,"theek hu, tu bata?"
chai peegi?,"haan yaar, abhi chai hi chai kar rahi hoon."
kaha ja raha hai?,"bas, office ja raha hoon."
kya padha hai aaj?,aaj to physics padha hai.
phone aa gaya kya?,"haan, phone aaya hai."
kal kaunsi movie dekhne ja rahe ho?,"abhi decide nahi kiya, tumhe kya dekhna hai?"
kya khaana banaya?,aaj dal chawal banaya hai.
koi plan hai weekend ke liye?,"haan yaar, dost ke saath picnic ja rahe hain."
kitna traffic hai?,"bahut zyada traffic hai yaar, aaj."
kal kya karna hai?,"kal kuchh khass nahi, ghar pe hi rahna hai."
kab aa rahe ho?,shaam tak aajaaoonga.
kaisa laga?,"bahut maja aaya, thank you!"
kya problem hai?,"bas, thoda head ache kar raha hai."
kya gift leke aaoon?,"kuchh mat lao, tumhara aana hi kaafi hai."
kaise the party?,"bahut mast thi, maza aaya."
kab lunch karenge?,aaj to office mein hi lunch karunga.
konsi book padh raha hai?,ek motivational book padh raha hoon.
kya kar rahe ho?,"bas, kuchh nahi, tv dekh raha hoon."
kya dekha?,ek interesting documentary dekha.
kya kar rahe ho aaj?,"kuchh nahi yaar, bas ghar pe relax kar raha hoon."
"bhai,aaj ka khana kya banaya hai?","aaj paneer butter masala banaya hai, tu aana khane."
aaj ka weather kaisa hai?,"bhaut ganda hai yaar, bharat mein yeh barish kabhi nahi rukti!"
kya tu office jaa raha hai aaj?,"haan yaar, aaj meeting hai."
kya tune woh movie dekh li?,"haan yaar, bahut mast thi!"
kya tu shaam ko chai peene aayega?,"haan yaar, kyun nahi aaunga?"
kya tera exam kaisa gaya?,"bhaut acha gaya yaar, hope so pass ho jaunga!"
kya tu aaj shopping karne jaa raha hai?,"haan yaar, kuchh kapde lene hai."
kya tune woh book padh li?,"haan yaar, bahut interesting thi!"
kya tu kal party mein aayega?,"haan yaar, zaroor aaunga."
kya tu aaj cricket match dekh raha hai?,"haan yaar, india vs pakistan ka match hai!"
kya tu apna phone charger le aaya?,"haan yaar, phone battery bahut low hai."
kya tu kal aaj ka kaam kar paaya?,"haan yaar, sab kaam ho gaya."
kya tu aaj ghar pe khana banaa raha hai?,"nahi yaar, aaj bahar jaake khana khaayenge."
kya tune woh interview de diya?,"haan yaar, de diya, ab result ka wait kar raha hoon."
kya tu aaj workout karne jaa raha hai?,"haan yaar, body ko fit rakhna zaroori hai."
kya tu aaj kaise ho?,"bhaut acha yaar, tu kaise ho?"
kya tune yeh recipe try ki?,"haan yaar, bahut tasty banai thi!"
kya tu shaam ko koi plan hai?,"nahi yaar, kuchh nahi, bas relax karunga."
kya karega aaj?,"bas, chill karunga, kuchh interesting toh nahi hai na?"
yeh movie dekh li kya?,"nahin yaar, kaha se time nikalta hai, kaam toh chalta rehta hai!"
aaj kya banaya tumne?,"kuchh special toh nahi, bas simple khana banaya."
"bhai,kaha se aate ho?","office se aaya hoon, kya baat hai?"
kitna time laga aane mein?,"bhai, traffic toh bahut tha aaj!"
kya padh raha hai?,"bas, kuchh notes revise kar raha hoon."
cricket khelne jaana hai kya?,"nahin yaar, aaj toh aisa mood nahi hai."
kya bolti ho?,"haan, woh sahi kah rahe hain."
kal kya plans hai?,"kal toh office hai, aur kuchh nahi."
kya chal raha hai?,"bas, normal routine."
chai piyega?,"haan, please."
movie dekhne jaenge kya?,"haan, jaroor, kal."
kya khaya aaj?,"kuchh khane ko nahi mila, bahut kaam tha."
kaise ho?,"theek hu, tum?"
kya soch raha hai?,"bas, aise hi, kuchh planning kar raha hoon."
kaunsi book padh raha hai?,"ab toh padh nahi raha hu, thoda busy hoon."
aaj party hai kya?,"haan yaar, aaja, bahut maza aane wala hai!"
kya plan hai kal?,"kal toh relax karna hai, kaam se break lena hai."
kya bolta hai?,"haan, bilkul sahi baat hai."
"chalo,aage chalte hain.","haan, theek hai."
"bhai,aaj ka mood kaisa hai?","bhai, thoda chill mood mein hu, aaj kaam bahut tha."
"yaar,aaj ka traffic bahut badhiya tha!","haan yaar, pura jam tha, ek ghanta lag gaya."
"are,tumne woh movie dekh li?","haan yaar, majaa aaya, kya story thi!"
aaj shaam kya karne ka plan hai?,"kya pata, kuchh to sochenge."
kal exam tha na?,"haan yaar, acche se gaya, shayad kuchh marks aayenge."
aaj kya bana hai khaane mein?,aaj dal chawal banaya hai.
"kya yaar,aaj ka weather bahut garmi wala hai!","haan yaar, jaane do, shaam ko kuchh sukoon milega."
"kya,coffee peena hai kya?","haan yaar, ek cup chai bana do."
aaj gym jaane ka mood hai?,"nahin yaar, aaj thoda rest lena hai."
aaj kharidi hai?,"haan, ye new phone hai."
kya plan hai weekend ka?,"kuchh pata nahi, chill karna hai."
"yaar,kitni thand hai!","haan yaar, garam kapde peheno."
"kya baat hai,kaun si movie dekh rahe ho?",yeh xyz movie dekh raha hu.
"yaar,kitna boring hai aaj ka din!","haan yaar, aise hi lag raha hai."
kya tumne yeh news dekhi?,"haan yaar, bahut sad news hai."
"kya,kuchh aapna banaya?","haan yaar, ye cake self-made hai."
"kitni acchi baat hai,you got a promotion?","haan yaar, hard work ki kamyabi."
kya kar rahe ho aaj?,"bas, chill kar rahe hoon."
chai piyega?,"haan yaar, abhi khali hone de."
kya haal chal?,"sab thik hai, tu bata."
kya aaj party mein aaoge?,"aavunga yaar, time se aa jaana."
aaj khana khane aana mere ghar?,"haan yaar, khana khana to banta hai."
kal film dekhne chalte hain?,"haan yaar, kon si dekhni hai?"
kaam khatam ho gaya?,"haan yaar, ab thoda rest time hai."
kya padh rahe ho?,"bas, online course kar raha hoon."
kya online shopping kar rahe ho?,"haan yaar, kuchh clothes order kar rahe hoon."
kya naya mobile le rahe ho?,"haan yaar, puraana bahut slow ho gaya hai."
kaun si book padh rahe ho?,kuchh motivational books padh raha hoon.
aaj ka mood kaisa hai?,"bas, thoda thak gaya hoon."
kaun sa song sun rahe ho?,aaj kuchh old hindi songs sun raha hoon.
kya gym jaane jaa rahe ho?,"haan yaar, fitness maintain karna hai."
aaj kaise ho?,"bas, aaj thoda bimar lag raha hoon."
kaun sa app use karte ho?,"bahut saare app use karta hoon, depend करता है किस काम के लिए."
kya aaj koi meeting hai?,"haan yaar, important meeting hai."
kaun sa topic padhayega aaj?,aaj history padhayega.
kya khana bana rahe ho?,aaj simple khana bana rahi hoon.
kaise ho?,"acha chal raha hai, tu bata."
aaj ka lunch kya banaya hai?,aaj toh khichdi hi banai hai.
movie dekhne chalega?,"nahi yaar, aaj bahut tired hoon."
weekend plan kya hai?,"kuchh nahi yaar, ghar pe hi relax karne wala hoon."
kya tumhara phone charge hai?,"haan, abhi 50% hai."
yeh kya ho raha hai?,"koi pata nahi, aisa hi hota hai."
kya tumne pani piya?,"haan, abhi piya hai."
kaise kaam chal raha hai?,"theek hai yaar, thoda busy hoon."
aaj ghar pe kya khaana hai?,aaj to pizza order karne wala hoon.
kya tumhe chai pasand hai?,"haan, mujhe chai bahut pasand hai."
koi dikkat nahi hai na?,"nahi yaar, sab thik hai."
aaj ka weather kaisa hai?,aaj to bahut garmi hai yaar.
kya tumne wo book padhi?,"nahi yaar, abhi padhi nahi hai."
kaun sa song sun raha hai?,"koi pata nahi, playlist pe shuffle chal raha hai."
kya tumne khana khaya?,"haan, thodi der pehle hi khaya hai."
kya tumhe kisi ki help chahiye?,"nahi yaar, mein khud manage kar lunga."
aaj ka traffic kaisa hai?,"bahut traffic hai yaar, lagta hai late ho jaayenge."
kitne baje aapko jaana hai?,mere ko 8 baje office jaana hai.
kya aapko movie pasand hai?,"haan, mujhe bollywood movies bahut pasand hai."
aaj ka khana kya banaya?,"sabzi aur roti banayi hai, aap kya khaana chahte ho?"
aaj ka weather toh bahut ganda hai!,"haan yaar, paani bhi gir raha hai."
kaun sa movie dekhne ja rahe ho?,"koi nahi yaar, bass ghar pe hi relax karna hai."
"kal office mein party hai,aayega?","haan yaar, definitely! kya special ho raha hai?"
yeh mobile ka battery toh bahut jaldi khali hota hai!,"haan yaar, koi accha charger to lagana padega."
kya tumne woh book padhi jo maine recommend ki thi?,"haan yaar, bahut mazedar book thi!"
kya aaj shopping karne ja rahe ho?,"nahi yaar, budget tight hai is samay."
apne ghar pe kya khana banaya?,"kuch nahi yaar, chai aur biscuits hi khaaye hain."
aapne kabhi goa gaya hai?,"haan yaar, bahut khoobsurat jagah hai!"
yeh traffic toh aaj bahut jam hai!,"haan yaar, kaam se waqt pe pahunchne ki fikr ho rahi hai."
kal party mein kya pehnu?,"koi simple sa dress pehen lo, aaram se rahega."
kitna paisa hai tumhare pass?,"zyada nahi, bas zaroori cheezon ke liye."
apne kitne ghanta kaam kiya aaj?,"bahut yaar, aaj toh pura din office mein hi bitaya."
apne kiski madad karni hai?,"koi nahi yaar, bass apna kaam kar raha hoon."
kya tumhara exam kab hai?,"agla hafte hai, thoda tension ho raha hai."
kya aapko koi problem hai?,"nahi yaar, sab theek hai."
kabhi online shopping kiya hai?,"haan yaar, bahut baar."
kya tumhe koi game khelna pasand hai?,"haan yaar, kabhi kabhi pubg khelta hoon."
aaj ka weather toh bahut badhiya hai!,"haan yaar, garam nahi hai toh maza aa raha hai."
coffee pilaoge kya?,"haa, pilao, thodi si chai peena bhi hai."
"kya,tumhare birthday pe party rakhni hai?","haan, zyada dhamaka toh nahi, bas kuchh dost bula lenge."
yeh movie dekhni hai tumhe?,"haa yaar, trailer dekha tha, bohot maja aayega."
"kya,tu bhi delhi ja raha hai?","haan, family trip hai, 2 hafte ke liye."
apni car ki service karani hai yaar.,"haa, le jaa raha hoon, thodi kharabi ho gayi hai."
aaj raat kya khana banaoge?,"aaj toh pizza order karenge, aaram se."
"kal exam hai,nervous ho rahe ho?","haan yaar, thoda pressure hai, but chill."
kaisa raha aaj ka din?,"bas yaar, busy din tha, ab thoda rest chahiye."
weekend plans kya hai?,"abhi toh kuchh planned nahi hai, shayad movie dekhne jaaunga."
tumhare phone ka battery low hai?,"haa, charger toh hai, charge kar leta hoon."
kuchh khane ke liye mangoge?,"nahi yaar, thoda khana khate hue aa gaya hoon."
"kya,tu kal office ja raha hai?","haan, kal toh holiday hai, par office ka kaam karne jaana hai."
aaj toh bahut traffic tha yaar!,"haa yaar, aur bhi badh jaayega diwali ke time."
ye shirt tumhe kaisi lagi?,"achi lagi, le leta hoon, price kitni hai?"
kal shopping karne jaa rahe ho?,"haa, shayad kuchh clothes dekhne jaaunga."
tumhari book padh li?,"haan, padh li, bohot achi lagi."
"yaar,aaj toh khane ka man nahi hai.","thik hai, me bhi kuchh nahi kha raha."
tumhare parents kaise hai?,"sab thik hai, apne bhi?"
kya time pe exam hai?,"10 baje hai, jaldi kar, der ho jaayegi."
aaj kya bana hai lunch mein?,"chicken curry aur chawal, aaja jaldi."
"phone recharge karna hai,kahaan se karu?","paytm se kar le, sabse convenient hai."
kya tumhe coffee pasand hai?,"haan, ekdum chai se bhi zyada."
kya picture dekhne ja rahe ho?,"koi action movie, kuchh thrilling wala."
kahaan gaye the tum?,"shopping karne gaya tha, aaj sale hai."
aaj kya mood hai?,"bahut boring, kuchh interesting karne ka man hai."
kab tak pahunch jaaoge?,"20-25 minutes mein, traffic naa ho toh."
kya tumhe ghoomne jaana hai?,"haan, kisi hill station pe, kab jaayein?"
kuchh khaane ko mangaao kya?,"nahi yaar, ghar se packed lunch le aaya hoon."
kaunsa college kar rahe ho?,"delhi university mein, economics mein."
cricket match dekhne jaana hai?,"haan yaar, india vs australia, bahut majaa aayega."
kya plan hai weekend ke liye?,"kuchh nahi yaar, bas relax karna hai ghar pe."
kaunsa song suna rahe ho?,"arijit singh ka, bahut emotional hai."
kya tumhe books padhna pasand hai?,"haan, fantasy novels, aise jisko khud ke dunia mein le jaayen."
aaj kya gaadi chalayi?,"bus, parking ka problem hota hai toh."
kahaan se aaye ho?,"work se aaya hoon, bahut tiring day tha."
kya tumhe dance karna pasand hai?,"haan, ekdum, bollywood dance ke divane hain."
aaj kya news dekhi?,"kuchh nahi yaar, bas social media pe hi rehta hoon."
kya tum aaj movie dekhne jaaoge?,"nahi yaar, aaj toh thoda padhai karna hai."
lunch kha liya?,"haan, bas ab chai pee loongi."
aaj kaafi garmi hai na?,"haan yaar, itni garmi toh kabhi nahin thi."
kal ki party mein aana yaar?,"aaunga, pakka aaunga."
"bhai,tumhara phone charger hai?","haan yaar, le le."
kya tumne ye naya restaurant try kiya?,"haan yaar, bahut mast hai."
yeh kaam kal tak ho jaayega?,"haa, tension na le."
kaise ho?,"acha hu, aap batao."
tumne kya khana banaya?,aaj aloo paratha banaya.
traffic bahut bada hai?,"haan yaar, bahut jam hai."
yeh book padh ke kaisa laga?,"bahut achha laga yaar, mind blowing."
kya aapko coffee pasand hai?,"haan yaar, bahut pasand hai."
tumhare exams kab hain?,agale hafte hain yaar.
kaam bahut zyada hai kya?,"haan yaar, kaafi zyada hai."
kya tumne wo naya song suna?,"haan, bahut acha song hai."
yeh kaise use karna hai?,"aise, dekh lo."
aaj movie dekhne ka plan hai?,"haan yaar, kabhi na kabhi toh dekhna hai na."
yeh new game kya hai?,"bahut mast game hai, khel ke dekh."
kaun sa colour pasand hai aapko?,muze blue colour bahut pasand hai.
"aaj toh bahut garam hai,na?","haan yaar, ac on karlo jaldi se."
kaise ho yaar?,"bas, chal raha hoon. tum batao."
kya khaane ke liye hai aaj?,aaj khichdi banayi hai.
kal movie dekhne chalenge kya?,"haan, sure, koi good one batao."
aaj office mein kya scene raha?,"kuch nahi, same old same old."
"lunch time ho gaya,kya?","haan, chal chal, khane chalte hain."
"phone battery toh gyi,yaar!","charger laga lo, jaldi se."
kaise hai exams ke preparations?,"theek hai, abhi kuch din aur padhna hai."
traffic toh aaj bhar diya hai?,"haan yaar, kya kar sakte hain."
kal shopping karne chalenge kya?,"haan, aaj raat list banate hain."
"coffee banai hai,lelo?","haan, please, thanks yaar."
"yaar,bore ho raha hoon!",phone pe koi game khel lo.
kya chal raha hai social media pe?,"kuch nahi, usual drama."
"kal party hai,aana?","haan, zarur, kya time hai?"
meeting mein kya discuss hua?,"kuch khass nahi, normal things."
kya kya pakaya aaj?,"sabzi, roti aur dal."
kaam ho gaya kya?,"haan, almost, thoda aur time lagega."
"yaar,khud ko chill karna zaroori hai, na?","haan, weekend plan bana lete hain."
kitna paisa lagi aaj?,"kafi, shopping karne gaya tha."
"aaj ka weather toh bahut hot hai,na?","haan yaar, ac pe hi depend hona padega."
kaisa raha tera day?,"theek tha, thoda boring hi tha."
lunch khaya?,"haan yaar, office canteen mein khana khaaya."
weekend mein kya plans hai?,"kuch nahi yaar, bas ghar pe hi relax karna hai."
new phone le rahe ho kya?,"haan, ye purana toh bahut slow chal raha hai."
movie dekhne jaoge?,"nahi yaar, abhi toh time nahi hai."
netflix pe kya dekh rahe ho?,"kuch nahi yaar, bas scrolling kar raha hu."
kya pakaya aaj?,"aaj toh bas khana banaya nahi, order kiya tha."
office ka kaam kaisa chal raha hai?,"theek hai, kuch pressure hai bas."
train late hai kya?,"haan yaar, abhi tak nahi aayi."
"bhai,kya ho raha hai?","kuch nahi yaar, bas timepass kar raha hu."
coffee banayega?,"nahi yaar, bahar se mangwa liya hu."
kabhi party karenge?,"haan yaar, jaldi hi karna hai."
kabhi movie dekhne chalenge?,"haan yaar, weekend pe chalte hai."
bhook lagi kya?,"haan yaar, kuch khaane ko do."
kya samajh mein aa raha hai?,"haan, theek hai, samajh aa raha hai."
kal kya karna hai?,"kuch nahi yaar, kal toh holiday hai."
"chalo,chalte hain.","haan, bye."
kaise ho yaar?,"acha hu, tum battao."
kal movie dekhne chalega?,"haan, sure, kya dekhna chahte ho?"
kya khana hai aaj?,"koi bhi, aap decide kar lo."
traffic bahut zyada hai na?,"haan yaar, har roz hi aisa hota hai."
kya tumhe chai pasand hai?,"haan, bahut zyada."
aaj weather bahut badal gaya hai na?,"haan, pehle dhoop thi ab barish ho rahi hai."
ab kya kar rahe ho?,"kuch nahi, bas phone pe scroll kar raha hoon."
aaj kaise raha din?,"theek tha, busy thoda tha."
kaam pura ho gaya kya?,"haan, ab thodi break le raha hoon."
kahan jaa rahe ho?,office jaa raha hoon.
aaj ki party mein kya pahnne ka plan hai?,"kuch simple sa, aap battao."
kal ka paper kaise gaya?,"bhut accha gaya, aapka kaisa gaya?"
ab kya kar rahe ho?,ab tv dekh raha hu.
kisne ye banaaya?,mere mom ne banaya.
aaj ka dinner kya banaye?,mujhe aaj bas khaana hai.
koi problem hai kya?,"nahi, bas thoda gussa aa raha tha."
aapko yaad hai kya?,"haan, bilkul yaad hai."
kitna kharcha aayega?,bhut zyada nahi aayega.
kya main aapse help le sakta hoon?,"haan, koi problem nahi."
"aaj bahut garmi hai,na?","haan yaar, ab toh ac hi chahiye."
kya tum coffee piyoge?,"haan, ek cup banado please."
"kal exam hai,kya tum prepare ho gaye?","aree yaar, abhi toh padhayi shuru ki hai!"
kya aaj movie dekhne jaana hai?,"nahi yaar, mujhe kaam karna hai."
woh ladki aapki girlfriend hai?,"aree, woh meri dost hai bas."
tumhare birthday pe kya gift chahiye?,"kuchh nahi chahiye yaar, aap aao bas."
kya aaj baarish aayegi?,"nahin, weather forecast toh clear hai."
"aaj party hai,aap aaoge?","haan, zarur aaunga."
kya aaj shopping karne jaana hai?,"haan, kuchh kapde lene hai."
kya tumne dinner kar liya?,"nahi yaar, abhi toh kaam kar raha hoon."
tum kya padhte ho?,mai engineering kar raha hoon.
kya tum ghar pe khana khate ho?,"haan, meri mom banaati hai."
kya tumne woh movie dekh li?,"haan, bahut mast movie thi."
tumhara favourite colour kya hai?,mujhe blue colour bahut pasand hai.
tumhara favourite singer kaun hai?,arijit singh mere favourite hain.
kya tum phone recharge karwa liye?,"haan, kar liya abhi."
kya tumne wo book padh li?,"haan, bahut interesting book thi."
tumhara favourite animal kya hai?,mujhe dogs bahut pasand hain.
tumhara kaam kaisa chal raha hai?,"accha chal raha hai, thank you."
kya scene hai?,"kuch nahi, just chilling yaar."
chai pilao na yaar?,"abey thodi der me, abhi thoda kaam hai."
aaj movie dekhne ja rahe ho kya?,"nahi yaar, time nahi hai."
kya khaana banaya hai?,aaj toh simple sa khana banaaya hai.
kaise ho?,"thik hun yaar, tum batao."
kal party hai yaad hai?,"haa yaar, bhoolna kaise."
ye new phone kaisa hai?,"bohot acha hai yaar, battery life bhi good hai."
"bhai,tumhare kaam mein kya chal raha hai?","sab thik hai yaar, bas thoda busy hoon."
kitna padhai kar rahe ho?,"abhi toh exam aane wala hai, zyada padhai karna pad raha hai."
kya ho raha hai aaj?,"kuch nahi yaar, bas ghar pe aaram kar raha hoon."
shaam ko khelne chale jaoge?,"haa yaar, chaloge na."
kitna paisa laga?,"bohot yaar, saara paisa waste ho gaya."
weekend plans kya hai?,"kuch nahi, aaram karenge."
ye book padhi kya?,"haa yaar, bohot achi book hai."
apna college kaisa chal raha hai?,"thik hai yaar, thoda busy hoon."
kaisi shopping ki?,"bohot achi yaar, ek naya dress bhi liya."
aaj kya pakaane ka mann hai?,aaj khana bahar se manga lenge.
kal ka exam kaisa gaya?,"thik gaya yaar, acha lag raha hai."
aaj khana khaane ke liye kya plan hai?,aaj toh bahar jaake khana khana hai.
"bhai,kya plan hai aaj?","abey, movie dekhne ja raha hoon, chal na."
coffee banayi kya?,"haa, ban gayi, chai bhi chaiye?"
"kya kar rahe ho,behen?","abey, kuchh nahi, bas phone mein scroll kar rahi hoon."
aaj bahut garmi hai na?,"haa yaar, jaise aag laggi ho."
"kya padhai kar rahe ho,beta?","science ki kitab padh raha hoon, exam hai na."
khana kha liya?,"haan, kha liya, ab thodi chai piyoon."
kab tak aayenge?,aadhe ghanta mein aajaaunga.
"chalo,kya aapko thoda help chahiye?","haan, yeh boxes uthane mein help kar do."
"ab toh bahar jaane ka mann nahi kar raha hai,na?","haa yaar, samay kharab hai."
kal aap kya kar rahe the?,"kaam tha, bahut busy tha."
shopping karne ja rahe ho?,"haan, aapke liye kuchh gift lene ja raha hoon."
"haan,tum log kaise ho?","hum toh thik hai, tum batao."
movie kaisi lagi?,"abey, zabardast thi, must watch hai."
"bahut bhook lagi hai,na?","haa yaar, pakoda khane ka mann kar raha hai."
cricket match dekha?,"haan, dekha, india jeet gaya!"
"chalo,picture mein aao?","haan, ek saath picture lete hai."
kya tumne wo new song suna?,"haan, suna, bohot acha hai."
yeh book kahan se li?,amazon se mangwayi thi.
aaj kya banaya tumne?,"paneer butter masala banaya, aao khaao."
kya tumhe chai peena hai?,"haan yaar, kafi time se peene ka mann kar raha hai."
"aaj bahut garmi hai,na?","haan yaar, lagta hai baarish aane wali hai."
"kal party hai,aayega na?","haan yaar, sure, kab time hai?"
